Mod	NE1	NE12	NE13	NE14	NE15	NE16	NE17	NE19	NE2	NE25	NE3	NE4	NE42	NE5	NE6	NE7	NE9	NF12	NF18	NF2	NF35	NF39	NF4	NF46	NF50	NF52	NF53	NF54	NF6	NF61	NF65	NP1	NP13	NP15	NP16	NP2	NP6	NP7	NP8	NP9	NT1	NT10	NT11	NT13	NT16	NT17	NT18	NT2	NT21	NT22	NT23	NT24	NT25	NT27	NT5	NT6	NT8	PS1	PS10	PS11	PS12	PS13	PS2	PS3	PS4	PS5	PS6	PS7	PS8	PS9
Male_FB_FB_M2	7.54654	7.49723	7.36268	7.26156	7.37818	7.40471	7.02602	7.34423	7.35785	7.42298	7.34549	7.04951	7.25141	7.2381	7.19526	7.17555	7.36045	7.33404	7.47922	7.37702	7.27822	7.24312	7.57582	7.31644	7.27794	7.35307	7.23707	7.02265	7.1941	7.44785	7.29896	7.84	7.0338	7.04881	7.78694	7.14757	7.74808	7.17544	7.74902	7.24501	7.29049	7.34521	7.33442	7.19984	7.11625	7.18053	7.50978	7.71925	7.40556	7.2127	7.38832	7.37417	7.18566	6.77933	7.27751	7.37065	7.31446	8.62823	8.22018	9.01551	8.69668	8.91379	8.91252	8.67348	8.14199	8.35685	8.48348	8.82682	8.35325	8.90341
Male_FB_FB_M3	10.2468	9.59792	9.24672	10.1113	8.55357	10.0082	8.92604	9.60198	9.39818	9.84747	9.87704	9.75364	9.57255	9.33624	9.90997	9.66282	9.85736	9.03597	7.32573	9.18955	7.83708	8.74398	8.4362	8.4526	9.27172	8.87034	8.89037	8.78283	8.90049	8.95075	9.32727	9.66824	9.07104	7.40893	9.21924	9.4782	9.40566	8.95316	9.30813	9.18506	8.16171	9.65699	9.80886	9.76186	9.29334	9.27129	9.31319	9.41799	9.83934	9.72173	9.59815	8.91287	9.55991	9.40768	9.79678	10.0748	9.26828	7.6362	8.56915	8.19385	7.91724	7.64012	8.25761	7.4896	8.26545	7.58696	7.849	7.33187	7.3232	8.12034
Male_FB_FB_M4	8.62744	8.41738	8.39074	8.08625	8.38829	8.50431	6.60981	8.11928	8.15584	8.42747	8.05854	7.98173	7.77788	7.81057	7.9503	7.85451	8.36393	7.41143	7.23748	7.64419	7.3545	7.26232	7.84509	7.52715	7.31384	7.31422	7.40509	7.46657	7.99	7.50366	7.41506	7.78327	6.59703	6.6592	7.43988	6.69731	7.94636	6.78846	7.62294	7.00386	7.84963	8.09992	8.16104	7.70346	8.4391	8.18804	8.05377	7.4301	7.80576	7.30219	8.29373	8.40434	7.61135	6.77351	8.19768	8.49276	8.43414	6.11491	6.5139	6.50288	7.06249	6.41499	5.86642	5.51542	6.22994	6.19482	5.81715	5.87302	5.79859	6.05622
Male_FB_FB_M5	7.36319	7.44473	7.5425	7.58925	7.37674	7.46521	8.37129	7.76254	8.14719	7.77984	7.47212	8.28962	8.01591	7.85813	7.93603	8.08067	7.43966	7.41257	7.55533	7.56301	7.1957	7.50777	7.66431	7.45464	7.35597	7.82571	7.30027	7.79278	7.71472	7.48863	7.20592	7.951	8.02094	8.17686	7.43276	8.25979	7.25242	7.94442	7.39019	8.35701	7.31035	8.16279	7.47634	7.44571	7.37495	7.55623	7.88131	7.42777	7.85816	7.29292	7.96254	7.6635	7.64806	7.88245	7.6143	7.66859	7.35882	6.34383	6.88219	6.77619	7.23577	6.55533	6.63209	6.15	6.60551	6.33863	6.28179	6.36304	6.1629	6.87443
Male_FB_FB_M6	7.32822	7.78152	7.64668	7.50443	6.73979	7.70985	7.3717	8.31595	7.1244	7.98653	7.61882	7.66089	8.22431	7.71967	7.83531	7.87449	7.73817	7.73823	6.96576	7.81108	6.92004	7.51754	8.28592	6.7372	6.94376	7.33536	7.07294	6.90888	7.54784	7.48143	7.12873	7.89163	7.13518	6.66667	6.82748	7.06819	6.40574	7.19549	6.39341	6.73901	7.58787	7.91443	7.85191	8.23523	6.53529	8.24745	8.26866	6.72679	8.31624	8.23642	6.71221	6.24637	8.29034	8.8551	8.46148	7.31248	7.04632	5.51388	6.87073	6.65348	6.86728	6.72364	6.5448	5.39796	6.82478	6.63196	6.22065	5.63159	6.17351	6.59994
Male_FB_FB_M7	7.19887	6.94016	7.49432	7.00278	7.29464	7.14603	6.12455	7.25968	6.96064	6.97311	7.24103	7.17564	7.76168	6.61917	7.00204	7.2346	7.09354	7.26135	7.38404	7.39308	7.20048	7.2112	7.55983	7.72584	6.95269	7.23032	7.63635	7.18605	7.76065	7.24931	7.12007	6.26754	5.87478	6.1098	6.31836	6.16787	6.28248	6.3319	6.18106	6.23617	7.60626	7.52378	7.25091	6.98612	6.84854	7.30481	7.42165	6.19946	7.36631	7.15353	7.27243	7.09876	7.65467	7.29248	7.37407	7.20281	7.88434	5.87944	5.65941	5.65915	7.12534	5.69274	5.25307	5.00819	5.60989	5.41117	5.26948	5.21126	5.23937	5.43212
Male_FB_FB_M8	7.03542	7.01627	6.72073	6.77306	6.92199	7.07145	5.90738	7.02401	6.53294	6.83106	6.86035	6.36004	6.90567	6.43082	6.89632	6.75496	6.92772	6.67242	6.13492	6.47361	6.23712	6.186	7.02302	6.06315	6.13601	5.91805	6.22058	6.01973	6.97435	6.1	6.10889	5.72055	5.92894	6.08433	5.44952	5.80279	5.83894	6.06763	5.79606	5.72839	7.36379	6.82869	7.14625	6.96703	6.51223	7.2531	7.13579	5.53637	6.84552	6.93216	6.61664	6.85074	7.14093	6.80341	7.08921	7.18406	7.1413	5.92569	5.86334	6.05114	6.09746	6.32208	5.24881	4.93454	5.9104	6.09483	5.53576	5.19431	5.79107	5.42129
Male_KC_KC_M1	8.11659	8.46814	8.46393	8.95163	8.48787	8.77286	7.69015	8.54667	9.20277	8.20496	8.41205	8.08061	8.41503	8.39246	8.2505	8.83176	8.52957	9.28099	8.7566	9.20835	8.30827	9.22086	8.6089	9.09947	9.10539	8.86856	8.70566	8.96528	8.29465	9.26706	8.80488	7.5944	7.69167	7.17396	8.12832	7.55757	8.11994	7.8395	7.77054	7.67165	8.55007	8.75486	8.45214	8.19784	7.81025	8.21412	8.72191	7.45113	8.54689	8.75281	8.30054	7.31521	8.73145	8.76496	8.48629	8.26677	8.09696	11.071	9.64066	10.3887	9.68515	10.1916	11.7141	10.9215	8.14663	9.83152	10.3841	10.3897	10.4211	10.7108
Male_KC_KC_M2	7.7824	7.66537	7.8341	8.15304	7.915	7.93039	7.84162	8.05196	8.00363	8.09677	8.00636	7.51618	8.14016	8.00941	7.78137	7.93807	7.90699	8.3093	8.37095	8.55071	8.37914	8.25559	8.33602	8.20483	8.33549	8.42147	8.1658	8.23095	8.04165	8.61573	8.29371	8.10523	7.84608	7.75264	7.95422	8.01984	7.88589	8.07558	7.90978	8.13132	8.15761	8.02054	7.83187	7.86195	7.88635	7.97114	8.14796	7.9173	7.88305	7.94045	8.05832	7.90756	8.13098	7.65963	8.02005	8.26422	7.86065	9.45559	9.19232	9.84551	9.35304	9.58192	9.74295	10.0148	9.0279	9.41587	9.87697	9.71523	9.81084	10.0188
Male_KC_KC_M3	8.91573	8.85503	8.92274	8.88827	8.90149	8.8747	8.85421	9.14127	8.45659	9.33954	9.11365	8.9448	9.1543	8.60978	8.68662	9.33097	9.06857	8.30307	8.43101	8.57748	8.46022	8.25471	8.85659	8.41167	8.35867	8.54967	8.54334	8.54483	8.57002	8.34731	8.59388	8.85848	8.47626	8.50248	8.78714	8.85672	8.78697	8.54442	8.39259	8.88054	8.44315	9.01223	8.93494	8.41279	8.91166	8.91425	9.13475	8.68839	8.99102	8.57176	9.01646	8.7056	8.87752	8.44456	9.02081	9.18856	9.02034	7.47025	7.65504	7.82083	7.82688	7.63239	7.54242	7.31665	7.47809	7.52051	7.378	7.35692	7.4356	7.73378
