Gene_a	Celltype_a	Gene_b	Celltype_b
FB	BMP4	Sebocyte	ACVR2A	
FB	BMP4	Sebocyte	ACVR2B	
FB	BMP4	Sebocyte	BMPR1A	
FB	BMP4	Sebocyte	BMPR2	
FB	BMP5	FB	ACVR1	
FB	BMP5	FB	ACVR2A	
FB	BMP5	FB	BMPR1A	
FB	BMP5	FB	BMPR2	
FB	BMP5	KC	ACVR1	
FB	BMP5	KC	ACVR2A	
FB	BMP5	KC	BMPR1A	
FB	BMP5	KC	BMPR1B	
FB	BMP5	KC	BMPR2	
FB	BMP5	Channel	ACVR1	
FB	BMP5	Channel	ACVR2A	
FB	BMP5	Channel	BMPR1A	
FB	BMP5	Channel	BMPR2	
FB	BMP5	MEC	ACVR1	
FB	BMP5	MEC	ACVR2A	
FB	BMP5	MEC	BMPR1A	
FB	BMP5	MEC	BMPR1B	
FB	BMP5	MEC	BMPR2	
FB	BMP5	MEL	ACVR1	
FB	BMP5	MEL	ACVR2A	
FB	BMP5	MEL	BMPR1A	
FB	BMP5	MEL	BMPR1B	
FB	BMP5	MEL	BMPR2	
FB	BMP5	Mac	ACVR1	
FB	BMP5	Mac	ACVR2A	
FB	BMP5	Mac	BMPR2	
FB	BMP5	Mast	BMPR1A	
FB	BMP5	Mast	BMPR2	
FB	BMP5	Pc	ACVR1	
FB	BMP5	Pc	ACVR2A	
FB	BMP5	Pc	BMPR1A	
FB	BMP5	Pc	BMPR2	
FB	BMP5	SGC	ACVR1	
FB	BMP5	SGC	ACVR2A	
FB	BMP5	SGC	BMPR1A	
FB	BMP5	SGC	BMPR1B	
FB	BMP5	SGC	BMPR2	
FB	BMP5	Schwann	ACVR1	
FB	BMP5	Schwann	ACVR2A	
FB	BMP5	Schwann	BMPR1A	
FB	BMP5	Schwann	BMPR1B	
FB	BMP5	Schwann	BMPR2	
FB	BMP5	VEC	ACVR1	
FB	BMP5	VEC	ACVR2A	
FB	BMP5	VEC	BMPR2	
FB	BMP7	FB	ACVR1	
FB	BMP7	FB	ACVR2A	
FB	BMP7	FB	BMPR1A	
FB	BMP7	FB	BMPR2	
FB	BMP7	HFC	ACVR1	
FB	BMP7	HFC	ACVR2A	
FB	BMP7	HFC	BMPR1A	
FB	BMP7	HFC	BMPR2	
FB	BMP7	KC	ACVR1	
FB	BMP7	KC	ACVR2A	
FB	BMP7	KC	BMPR1A	
FB	BMP7	KC	BMPR2	
FB	BMP7	Channel	ACVR1	
FB	BMP7	Channel	ACVR2A	
FB	BMP7	Channel	BMPR1A	
FB	BMP7	Channel	BMPR2	
FB	BMP7	LC	ACVR1	
FB	BMP7	LC	ACVR2A	
FB	BMP7	LC	BMPR2	
FB	BMP7	LEC	ACVR1	
FB	BMP7	LEC	ACVR2A	
FB	BMP7	LEC	BMPR2	
FB	BMP7	MEC	ACVR1	
FB	BMP7	MEC	ACVR2A	
FB	BMP7	MEC	BMPR1A	
FB	BMP7	MEC	BMPR2	
FB	BMP7	MEL	ACVR1	
FB	BMP7	MEL	ACVR2A	
FB	BMP7	MEL	BMPR1A	
FB	BMP7	MEL	BMPR1B	
FB	BMP7	MEL	BMPR2	
FB	BMP7	Mac	ACVR1	
FB	BMP7	Mac	ACVR2A	
FB	BMP7	Mac	BMPR2	
FB	BMP7	Mast	BMPR1A	
FB	BMP7	Mast	BMPR2	
FB	BMP7	Pc	ACVR1	
FB	BMP7	Pc	ACVR2A	
FB	BMP7	Pc	BMPR1A	
FB	BMP7	Pc	BMPR1B	
FB	BMP7	Pc	BMPR2	
FB	BMP7	SGC	ACVR1	
FB	BMP7	SGC	ACVR2A	
FB	BMP7	SGC	BMPR1A	
FB	BMP7	SGC	BMPR2	
FB	BMP7	Schwann	ACVR1	
FB	BMP7	Schwann	ACVR2A	
FB	BMP7	Schwann	BMPR1A	
FB	BMP7	Schwann	BMPR1B	
FB	BMP7	Schwann	BMPR2	
FB	BMP7	Sebocyte	ACVR1	
FB	BMP7	Sebocyte	ACVR2A	
FB	BMP7	Sebocyte	ACVR2B	
FB	BMP7	Sebocyte	BMPR1A	
FB	BMP7	Sebocyte	BMPR2	
FB	BMP7	VEC	ACVR1	
FB	BMP7	VEC	ACVR2A	
FB	BMP7	VEC	BMPR2	
FB	C3	Channel	ITGAM	
FB	C3	Channel	ITGB2	
FB	C3	LC	ITGAM	
